nama_resto;rating;jenis;resto_geom;;;ulasan
Era Jaya Oleh - Oleh Khas Solo;4.5;Deli;POINT(110.8203956 -7.5745956);;;1642
Pecel Menangan Surakarta;4.5;Indonesian;POINT(110.8280645 -7.5853701);;;1177
Babi Kuah Angkring Kuning ~ Pak Warsidi;4.7;Hawker stall;POINT(110.8393932 -7.5650188);;;62
Karonssih Culinary & Craft;4.3;Restaurant;POINT(110.810112 -7.5641108);;;802
Kampung Kuliner Ngarso Kapatihan;5;Restaurant;POINT(110.8319781 -7.5658196);;;3
Bakmi jawa dan masakan jawa kawasan kuliner shelter sriwedari;5;Restaurant;POINT(110.8117882 -7.5695617);;;1
Nasi Liwet Bu Wongso Lemu;3.9;Javanese restaurant;POINT(110.8235705 -7.5695847);;;5123
Harjo Bestik Pasar Kembang;4.1;Javanese restaurant;POINT(110.8170899 -7.5727697);;;936
Raja Siobak;4.4;Restaurant;POINT(110.8367682 -7.5682149);;;157
Obonk Steak;4.5;Steak;POINT(110.8140848 -7.5662831);;;2584
Mie Ayam Handayani Kartopuran;4.5;Noodle Shop;POINT(110.8175271 -7.5756413);;;1941
Es Dawet Telasih Khas Solo bang jeks;4.6;Restaurant;POINT(110.8273481 -7.5751643);;;14
"Rumah makan ""Sari Prasojo""";4.3;Restaurant;POINT(110.8200195 -7.5469433);;;55
Gule Kepala Ikan Mas Agus & Seafood Solo;4.4;Breakfast;POINT(110.814659 -7.5816646);;;2038
"Nasi Goreng Babat Gongso Gilingan ""Khas Semarangan""";4.5;Nasi goreng restaurant;POINT(110.8241196 -7.5535883);;;938
Warung Makan New York;3.1;Restaurant;POINT(110.8234564 -7.5703948);;;150
MAKUNDE RESTO;3.7;Family-friendly;POINT(110.8591439 -7.563543);;;90
Ndalem Kartowikoro 1835 Coffee & Eatery;4.9;Restaurant;POINT(110.82511 -7.5742561);;;92
Timlo Sastro 2;4.3;Restaurant;POINT(110.80515 -7.5689601);;;2466
